hour,estimated_distance_bucket,regular_riders,early_starters,late_starters
6.0,0,139,6,0
6.0,Not Started,12866,2150,2703
6.25,0,2008,99,0
6.25,5,348,5,0
6.25,Not Started,10649,2052,2703
6.5,0,1150,125,0
6.5,5,1717,73,0
6.5,10,454,5,0
6.5,Not Started,9684,1953,2703
6.75,0,938,335,12
6.75,5,1134,104,0
6.75,10,1537,62,0
6.75,15,489,5,0
6.75,20,1,0,0
6.75,Not Started,8906,1650,2691
7.0,0,1782,356,263
7.0,5,985,247,1
7.0,10,1105,95,0
7.0,15,1396,45,0
7.0,20,497,8,0
7.0,25,33,0,0
7.0,Not Started,7207,1405,2439
7.25,0,1186,212,91
7.25,5,1596,349,213
7.25,10,993,193,3
7.25,15,1096,89,0
7.25,20,1232,37,0
7.25,25,369,6,0
7.25,30,92,1,0
7.25,Not Started,6342,1267,2396
7.25,Stop 25,99,2,0
7.5,0,856,364,50
7.5,5,1286,232,124
7.5,10,1366,304,169
7.5,15,995,171,5
7.5,20,1032,76,0
7.5,25,684,21,0
7.5,30,455,7,0
7.5,35,136,3,0
7.5,Not Started,5750,965,2355
7.5,Stop 25,445,13,0
7.75,0,963,547,565
7.75,5,901,264,53
7.75,10,1419,257,136
7.75,15,1167,269,147
7.75,20,1004,148,6
7.75,25,678,38,0
7.75,30,897,31,0
7.75,35,437,9,0
7.75,40,189,4,0
7.75,45,11,0,0
7.75,Not Started,4919,564,1796
7.75,Stop 25,420,25,0
8.0,0,1896,573,727
8.0,5,742,478,390
8.0,10,940,228,62
8.0,15,1403,287,141
8.0,20,1097,222,127
8.0,25,563,70,3
8.0,30,941,46,0
8.0,35,836,31,0
8.0,40,398,9,0
8.0,45,247,4,0
8.0,50,30,0,0
8.0,Not Started,3412,139,1249
8.0,Stop 25,500,69,4
8.25,0,1692,237,420
8.25,5,1490,581,720
8.25,10,682,435,269
8.25,15,1048,227,71
8.25,20,1384,264,157
8.25,25,564,122,48
8.25,30,854,105,11
8.25,35,939,48,0
8.25,40,770,28,0
8.25,45,410,9,0
8.25,50,221,3,0
8.25,55,76,1,0
8.25,Not Started,2305,0,962
8.25,Stop 25,569,96,45
8.25,Stop 53,1,0,0
8.5,0,1648,68,635
8.5,5,1820,355,523
8.5,10,1241,523,617
8.5,15,699,365,202
8.5,20,1074,225,87
8.5,25,729,141,87
8.5,30,934,171,71
8.5,35,873,93,11
8.5,40,883,47,0
8.5,45,717,25,0
8.5,50,375,8,0
8.5,55,204,3,0
8.5,60,79,1,0
8.5,Not Started,948,0,398
8.5,Stop 25,683,129,72
8.5,Stop 53,98,2,0
8.75,0,1327,1,488
8.75,5,1527,120,542
8.75,10,1703,454,565
8.75,15,1051,490,538
8.75,20,731,294,163
8.75,25,601,116,50
8.75,30,1087,203,115
8.75,35,969,156,72
8.75,40,852,86,13
8.75,45,838,47,0
8.75,50,490,14,0
8.75,55,280,8,0
8.75,60,220,2,0
8.75,65,100,3,0
8.75,70,3,0,0
8.75,Not Started,176,0,91
8.75,Stop 25,691,152,66
8.75,Stop 53,359,10,0
9.0,0,305,0,124
9.0,5,1625,11,609
9.0,10,1498,195,491
9.0,15,1555,500,526
9.0,20,858,428,461
9.0,25,387,120,78
9.0,30,1057,225,91
9.0,35,1074,201,110
9.0,40,963,137,72
